주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
PAR-000001,산성동제2노상,공영,노상,대전광역시 중구 대둔산로466번길 17,대전광역시 중구 산성동 145-40,14,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31089095,127.3893707,2022-09-16,3650000,대전광역시 중구
PAR-000002,산성동제3노상,공영,노상,대전광역시 중구 보문산로 31,대전광역시 중구 산성동 78-5,43,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30673286,127.3848196,2022-09-16,3650000,대전광역시 중구
PAR-000003,산성동제4노상,공영,노상,대전광역시 중구 대둔산로480번길 41,대전광역시 중구 산성동 136-95,19,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31239267,127.3911974,2022-09-16,3650000,대전광역시 중구
PAR-000004,산성동제5노상,공영,노상,대전광역시 중구 유등천동로 292번길 89-14,대전광역시 중구 산성동 36-1,84,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30867591,127.3908175,2022-09-16,3650000,대전광역시 중구
PAR-000005,산성동제6노상,공영,노상,대전광역시 중구 산성로 32,대전광역시 중구 산성동 321,30,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30636934,127.3923831,2022-09-16,3650000,대전광역시 중구
PAR-000006,산성동제13노상,공영,노상,대전광역시 중구 유등천동로 218,대전광역시 중구 산성동 120-15,15,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30342557,127.3827292,2022-09-16,3650000,대전광역시 중구
PAR-000007,산성동제7노상,공영,노상,대전광역시 중구 대둔산로364번길 33-12,대전광역시 중구 산성동 275-1,32,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30244065,127.388296,2022-09-16,3650000,대전광역시 중구
PAR-000008,산성동 제8노상,공영,노상,대전광역시 중구 문화로45번길 15-1,대전광역시 중구 산성동 147-31,36,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31129641,127.3904698,2022-09-16,3650000,대전광역시 중구
PAR-000009,산성동 제9노상,공영,노상,대전광역시 중구 대둔산로480번길 8,대전광역시 중구 산성동 145-4,11,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.31176845,127.3893938,2022-09-16,3650000,대전광역시 중구
PAR-000010,산성동 제10노상,공영,노상,대전광역시 중구 산성로57번길 16,대전광역시 중구 산성동 64-48,6,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30808528,127.3947383,2022-09-16,3650000,대전광역시 중구
PAR-000011,석교동제1노상,공영,노상,대전광역시 중구 신기로7번길 10,대전광역시 중구 석교동 84-15,17,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.3075822,127.4476717,2022-09-16,3650000,대전광역시 중구
PAR-000012,석교동제2노상,공영,노상,대전광역시 중구 대종로 235,대전광역시 중구 석교동 9-1,20,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30961984,127.4413979,2022-09-16,3650000,대전광역시 중구
PAR-000013,석교동제3노상,공영,노상,대전광역시 중구 대종로 228,대전광역시 중구 석교동 12-4,46,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.30970496,127.4424094,2022-09-16,3650000,대전광역시 중구
PAR-000014,선화동제5노상,공영,노상,대전광역시 중구 중앙로 101,대전광역시 중구 선화동 287-2,19,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,,,,,,,,,대전광역시 중구청 교통과,042-606-6865,36.32677115,127.4207316,2022-09-16,3650000,대전광역시 중구
