모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
"Mercedes-Benz GLE350 e 4MATIC	",벤츠,전기+휘발유,1991,자동9,2.5 / 8.9,PHEV,26,다목적형
볼보 XC90B5 AWD,볼보,휘발유,1969,자동8,9.7,4등급,176,다목적형
Mercedes-Benz GLE300 d 4MATIC (5 Seater),벤츠,경유,1993,자동9,11.9,3등급,161,다목적형
Mercedes-Benz GLE350 e 4MATIC Coupe,벤츠,전기+휘발유,1991,자동9,2.5 / 8.7,PHEV,27,다목적형
Mercedes-Benz GLE300 d 4MATIC,벤츠,경유,1993,자동9,11.9,3등급,161,다목적형
Peugeot e-208,PSA Automobiles,전기,,없음,5.4,고속(전기),0,일반형
Mercedes-Benz GLS400 d 4MATIC (MY22),벤츠,경유,2925,자동9,9.8,4등급,199,다목적형
스타리아 어린이통학차 2.2디젤 4WD 11인 (17인치),현대,경유,2199,자동8,9.3,5등급,209,일반형
마세라티 르반떼 모데나 S,마세라티,휘발유,2979,자동8,7,5등급,241,다목적형
마세라티 르반떼 모데나,마세라티,휘발유,2979,자동8,7,5등급,241,다목적형
BMW i4 M50,BMW,전기,,없음,4.1,고속(전기),0,일반형
CHEVROLET COLORADO AWD,GM,휘발유,3649,자동8,7.9,5등급,220,일반형
비바,Liaoning Lingyuan Linghe,전기,,없음,4.8,고속(전기),0,밴형
마세라티 르반떼 GT,마세라티,휘발유,1995,자동8,7.9,5등급,209,다목적형
Mercedes-Benz EQC400 4MATIC,벤츠,전기,,없음,3.1,고속(전기),0,다목적형
짚 글래디에이터,크라이슬러,휘발유,3604,자동8,6.5,5등급,260,화물
짚 컴패스 2.4 FWD,크라이슬러,휘발유,2360,자동6,9.7,4등급,171,다목적형
마세라티 콰트로포르테 모데나 Q4,마세라티,휘발유,2979,자동8,6.5,5등급,259,일반형
마세라티 콰트로포르테 GT,마세라티,휘발유,2979,자동8,7.4,5등급,226,일반형
마세라티 기블리 모데나 S Q4,마세라티,휘발유,2979,자동8,6.7,5등급,252,일반형
마세라티 기블리 모데나,마세라티,휘발유,2979,자동8,7.1,5등급,237,일반형
스타리아 어린이통학차 2.2디젤 4WD 11인 (18인치),현대,경유,2199,자동8,9.3,5등급,209,일반형
볼보 S90T8 AWD,볼보,전기+휘발유,1969,자동8,2.9 / 11.2,PHEV,63,일반형
볼보 XC60T8 AWD,볼보,전기+휘발유,1969,자동8,3 / 10.8,PHEV,67,다목적형
볼보 XC90T8 AWD,볼보,전기+휘발유,1969,자동8,2.8 / 10,PHEV,59,다목적형
Mercedes-AMG GLB35 4MATIC,벤츠,휘발유,1991,자동8,9,5등급,191,다목적형
BMW iX xDrive50,BMW,전기,,없음,3.6,고속(전기),0,다목적형
"Mercedes-Benz C300	",벤츠,휘발유,1999,자동9,11.8,3등급,143,일반형
"Mercedes-Benz GLC300 e 4MATIC	",벤츠,전기+휘발유,1991,자동9,2.5 / 9.1,PHEV,62,다목적형
스타리아 라운지 리무진 2.2디젤 4WD 7인,현대,경유,2199,자동8,9.4,4등급,209,기타형
Mercedes-Benz GLB250 4MATIC(5seater),벤츠,휘발유,1991,자동8,9.9,4등급,172,다목적형
Mercedes-Benz EQS450 +,벤츠,전기,,없음,3.8,고속(전기),0,일반형
스타리아 라운지 리무진 2.2디젤 4WD 9인,현대,경유,2199,자동8,9.4,4등급,209,기타형
마세라티 기블리 GT,마세라티,휘발유,1995,자동8,8.9,5등급,186,일반형
BMW X3 xDrive30e,BMW,전기+휘발유,1998,자동8,2.6 / 9.6,PHEV,61,다목적형
GV60 성능형 4WD 무선충전,현대,전기,,없음,3.9,고속(전기),0,다목적형
BMW iX3 M Sport,BMW,전기,,없음,4.1,고속(전기),0,일반형
GV60 4WD 무선충전,현대,전기,,없음,4.1,고속(전기),0,다목적형
Mercedes-Benz GLB250 4MATIC,벤츠,휘발유,1991,자동8,9.9,4등급,172,다목적형
페라리 812 Competizione,페라리,휘발유,6496,자동7,5.6,5등급,319,일반형
BMW iX xDrive40,BMW,전기,,없음,3.9,고속(전기),0,다목적형
"Mercedes-Benz C200 4MATIC	",벤츠,휘발유,1999,자동9,11.3,4등급,149,일반형
렉서스 ES300h,토요타,휘발유,2487,무단변속,16.8,1등급,92,일반형
볼보 S90B5,볼보,휘발유,1969,자동8,11.2,4등급,151,일반형
볼보 S60B5,볼보,휘발유,1969,자동8,11.3,4등급,149,일반형
볼보 XC60B6 AWD,볼보,휘발유,1969,자동8,9.1,5등급,189,다목적형
볼보 V90CCB6 AWD,볼보,휘발유,1969,자동8,10.4,4등급,164,다목적형
Mercedes-Benz EQA250,벤츠,전기,,없음,4,고속(전기),0,다목적형
스타리아 라운지 리무진 2.2디젤 2WD 7인,현대,경유,2199,자동8,10,4등급,196,기타형
스타리아 어린이통학차 2.2디젤 2WD 11인,현대,경유,2199,자동8,10,4등급,194,일반형
스타리아 어린이통학차 3.5LPI 11인,현대,LPG,3470,자동8,6.3,5등급,210,일반형
스타리아 어린이통학차 3.5LPI 15인,현대,LPG,3470,자동8,6.3,5등급,210,일반형
스타리아 어린이통학차 2.2디젤 2WD 14인,현대,경유,2199,자동8,10,4등급,194,일반형
스타리아 라운지 리무진 2.2디젤 2WD 9인,현대,경유,2199,자동8,10,4등급,196,기타형
볼보 S90B6 AWD,볼보,휘발유,1969,자동8,9.9,4등급,172,일반형
볼보 XC90B6 AWD,볼보,휘발유,1969,자동8,9.3,5등급,183,다목적형
"Mercedes-AMG GT43 4MATIC + 	",벤츠,휘발유,2999,자동9,8.1,5등급,212,일반형
CHEVROLET EQUINOX AWD,GM,휘발유,1490,자동6,10.6,4등급,156,다목적형
CHEVROLET EQUINOX FWD,GM,휘발유,1490,자동6,11.5,4등급,143,다목적형
Mercedes-Benz GLC300 4MATIC Coupe,벤츠,휘발유,1991,자동9,9.2,5등급,185,다목적형
재규어 F-PACE SVR,재규어,휘발유,5000,자동8,7,5등급,252,다목적형
"Mercedes-AMG A35 4MATIC	",벤츠,휘발유,1991,자동7,10.1,4등급,168,일반형
RS e-tron GT,아우디,전기,,없음,3.4,고속(전기),0,일반형
911 GT3,포르쉐,휘발유,3996,자동7,6.5,5등급,271,일반형
911 GT3,포르쉐,휘발유,3996,자동7,6.5,5등급,271,일반형
볼보 V90CCB5 AWD,볼보,휘발유,1969,자동8,10.6,4등급,160,다목적형
볼보 V60CCB5 AWD,볼보,휘발유,1969,자동8,9.9,4등급,171,다목적형
볼보 XC40B4 AWD,볼보,휘발유,1969,자동8,10.1,4등급,169,다목적형
볼보 XC60B5 AWD,볼보,휘발유,1969,자동8,9.5,4등급,180,다목적형
